"","","","","","","","","","","","","","","","",""
"Year range","Austria","Bremen","Denmark / Baltic","Duchy of Courland","France","Great Britain","Netherlands","Other","Portugal","Portugal / Brazil","Spain","Spain / Uruguay","Sweden","U.S.A.","Undefined","All"
"1511-1520","0","0","0","0","0","0","0","0","0","464","0","109","0","0","239","812"
"1521-1530","0","0","0","0","0","0","0","0","0","0","0","834","0","0","595","1,429"
"1531-1540","0","0","0","0","0","0","0","0","0","749","0","166","0","0","1,217","2,132"
"1541-1550","0","0","0","0","0","0","0","0","0","150","0","0","0","0","19,771","19,921"
"1551-1560","0","0","0","0","0","0","0","0","0","574","0","0","0","0","10,098","10,672"
"1561-1570","0","0","0","0","0","1,410","0","0","0","147","298","267","0","0","9,348","11,470"
"1571-1580","0","0","0","0","80","0","0","0","0","712","0","0","0","0","23,531","24,323"
"1581-1590","0","0","0","0","335","0","0","0","0","972","0","1,465","0","0","45,187","47,959"
"1591-1600","0","0","0","0","0","0","586","0","133","27,573","0","2,434","0","0","51,842","82,568"
"1601-1610","0","0","77","0","0","0","757","0","181","20,028","0","476","0","0","41,859","63,378"
"1611-1620","0","0","0","0","0","0","245","0","0","25,516","0","9,271","0","0","29,148","64,180"
"1621-1630","0","0","0","0","0","0","280","0","0","40,616","0","6,178","0","0","29,499","76,573"
"1631-1640","0","0","0","0","0","0","5,630","0","0","29,197","0","3,533","0","0","32,450","70,810"
"1641-1650","0","0","1,105","0","1,144","9,200","20,859","259","0","9,311","0","1,456","0","0","262","43,974"
"1651-1660","0","0","544","287","241","9,658","18,083","0","0","7,377","0","4,588","0","0","740","41,673"
"1661-1670","0","0","0","0","1,983","27,017","35,209","0","0","3,376","0","717","0","0","846","69,148"
"1671-1680","0","0","245","0","6,371","39,050","36,187","0","0","8,454","0","4,117","0","0","1,062","95,909"
"1681-1690","0","0","2,477","0","10,170","78,595","36,056","191","0","14,241","0","1,994","0","0","552","144,844"
"1691-1700","0","0","16,769","0","6,420","70,627","35,194","0","0","56,686","0","0","0","0","1,860","189,123"
"1701-1710","0","0","2,909","0","17,565","124,194","33,518","0","0","52,349","0","0","0","0","1,552","232,451"
"1711-1720","0","0","1,888","0","43,866","136,086","41,948","0","0","87,992","0","0","0","0","2,913","315,830"
"1721-1730","0","0","1,483","0","60,540","186,002","30,472","0","0","163,706","0","0","0","0","2,767","448,737"
"1731-1740","0","0","767","0","78,416","201,182","24,274","0","0","137,878","0","0","0","0","1,123","456,009"
"1741-1750","0","0","2,036","0","95,456","140,835","34,111","0","0","173,878","0","0","0","0","1,249","456,699"
"1751-1760","0","0","5,674","0","81,111","209,133","36,723","0","0","139,852","0","496","0","0","199","490,130"
"1761-1770","0","0","4,732","0","112,259","290,880","53,632","0","328","147,787","0","3,577","0","0","1,008","642,895"
"1771-1780","0","0","5,092","0","137,409","251,036","42,456","0","375","130,613","0","36","0","0","636","586,762"
"1781-1790","2,110","0","14,456","0","228,770","248,201","13,751","0","500","164,699","0","607","0","0","686","684,758"
"1791-1800","0","0","11,613","0","57,828","347,781","6,937","0","336","230,845","0","4,332","176","0","1,518","695,363"
"1801-1810","0","0","11,647","0","14,872","244,521","1,764","0","0","327,368","0","15,395","0","0","2,684","695,265"
"1811-1820","0","0","160","0","32,143","0","644","0","5","450,043","0","181,860","0","0","2,617","669,503"
"1821-1830","0","265","310","0","106,670","0","800","0","0","520,928","0","84,052","0","0","4,368","719,252"
"1831-1840","0","0","748","0","3,601","0","0","675","0","309,635","0","118,519","0","0","24,902","467,687"
"1841-1850","0","0","1,821","0","7,930","0","0","1,304","106","188,262","100","19,662","0","0","142,373","381,823"
"1851-1860","0","0","0","0","411","0","0","1,050","0","9,322","0","22,993","0","0","64,846","144,639"
"1861-1866","0","0","0","0","1,266","0","0","0","0","650","0","4,416","0","0","24,207","47,124"
"All","2,110","265","86,553","287","1,106,857","2,615,408","510,116","3,479","1,964","3,481,950","398","493,550","176","0","579,754","9,195,825"
