Year range,Austria,Bremen,Denmark / Baltic,Duchy of Courland,France,Great Britain,Netherlands,Other,Portugal,Portugal / Brazil,Spain,Spain / Uruguay,Sweden,U.S.A.,Undefined,All
1511-1520,0,0,0,0,0,0,0,0,0,624,0,144,0,0,296,"1,064"
1521-1530,0,0,0,0,0,0,0,0,0,0,0,"1,043",0,0,748,"1,791"
1531-1540,0,0,0,0,0,0,0,0,0,919,0,224,0,0,"1,553","2,696"
1541-1550,0,0,0,0,0,0,0,0,0,160,0,0,0,0,"24,720","24,880"
1551-1560,0,0,0,0,0,0,0,0,0,718,0,0,0,0,"13,068","13,786"
1561-1570,0,0,0,0,0,"1,749",0,0,0,176,400,295,0,0,"12,258","14,878"
1571-1580,0,0,0,0,104,0,0,0,0,856,0,0,0,0,"29,514","30,474"
1581-1590,0,0,0,0,419,0,0,0,0,"1,170",0,"1,868",0,0,"54,621","58,078"
1591-1600,0,0,0,0,0,0,697,0,159,"33,961",0,"3,087",0,0,"64,232","102,136"
1601-1610,0,0,90,0,0,0,922,0,216,"25,157",0,577,0,0,"52,620","79,582"
1611-1620,0,0,0,0,0,0,283,0,0,"32,610",0,"11,838",0,0,"36,711","81,442"
1621-1630,0,0,0,0,0,0,326,0,0,"51,053",0,"7,719",0,0,"37,053","96,151"
1631-1640,0,0,0,0,0,0,"6,452",0,0,"36,618",0,"4,415",0,0,"40,337","87,822"
1641-1650,0,0,"1,400",0,"1,469","11,758","25,765",325,0,"11,543",0,"1,806",0,0,307,"54,820"
1651-1660,0,0,653,398,316,"12,797","23,875",0,0,"9,958",0,"5,614",0,0,"1,100","54,892"
1661-1670,0,0,0,0,"2,575","35,677","42,636",0,0,"4,145",0,879,0,0,"1,076","86,988"
1671-1680,0,0,290,0,"8,234","50,602","43,026",0,0,"9,970",0,"5,100",0,0,"1,330","119,052"
1681-1690,0,0,"3,111",0,"13,155","102,599","41,651",250,0,"16,482",0,"2,492",0,0,696,"181,202"
1691-1700,0,0,"20,813",0,"8,966","90,490","40,395",0,0,"64,762",0,0,0,0,"2,201","229,527"
1701-1710,0,0,"4,271",0,"24,300","148,364","39,457",0,0,"59,149",0,0,0,0,"1,762","277,729"
1711-1720,0,0,"2,237",0,"55,272","163,368","49,370",0,0,"100,072",0,0,0,0,"3,767","375,562"
1721-1730,0,0,"1,727",0,"70,422","222,726","35,798",0,0,"184,418",0,0,0,0,"3,268","523,062"
1731-1740,0,0,"1,079",0,"95,431","241,480","29,716",0,0,"156,475",0,0,0,0,"1,295","540,542"
1741-1750,0,0,"2,463",0,"111,682","173,770","37,974",0,0,"197,929",0,0,0,0,"1,491","536,565"
1751-1760,0,0,"6,790",0,"94,004","252,424","41,155",0,0,"154,565",0,634,0,0,237,"569,970"
1761-1770,0,0,"5,466",0,"130,711","356,958","59,822",0,349,"162,903",0,"4,179",0,0,"1,133","755,672"
1771-1780,0,0,"5,987",0,"155,267","297,836","47,508",0,448,"141,662",0,36,0,0,734,"671,950"
1781-1790,"2,602",0,"17,746",0,"267,687","280,237","16,741",0,581,"180,880",0,769,0,0,751,"781,079"
1791-1800,0,0,"12,949",0,"67,690","382,865","7,789",0,364,"251,759",0,"4,959",191,0,"1,695","770,926"
1801-1810,0,0,"13,771",0,"16,676","274,327","1,919",0,0,"364,235",0,"18,046",0,0,"3,082","785,303"
1811-1820,0,0,182,0,"36,119",0,717,0,6,"500,029",0,"207,203",0,0,"2,973","749,715"
1821-1830,0,318,348,0,"121,748",0,860,0,0,"572,613",0,"95,713",0,0,"5,099","798,806"
1831-1840,0,0,831,0,"4,098",0,0,751,0,"345,910",0,"132,854",0,0,"29,039","524,661"
1841-1850,0,0,"2,026",0,"8,915",0,0,"1,434",106,"210,095",104,"21,746",0,0,"163,169","431,280"
1851-1860,0,0,0,0,418,0,0,"1,250",0,"10,960",0,"26,111",0,0,"78,054","173,735"
1861-1866,0,0,0,0,"1,387",0,0,0,0,723,0,"4,986",0,0,"28,508","55,700"
All,"2,602",318,"104,230",398,"1,297,065","3,100,027","594,854","4,010","2,229","3,895,259",504,"564,337",191,0,"700,498","10,643,518"
