Name;Birth_year;Born_certain;Born_approx;Born_unknown;Dead_year;Dead_certain;Dead_approx;Dead_unknown;Era_start;Era_finished
Gorm den Gamle;913;FALSE;FALSE;TRUE;958;FALSE;TRUE;FALSE;936;958
Harald 1. Blåtand;NA;FALSE;FALSE;TRUE;987;FALSE;TRUE;FALSE;958;987
Svend 1. Tveskæg;NA;FALSE;FALSE;TRUE;1014;FALSE;TRUE;FALSE;1000;1014
Harald 2.;NA;FALSE;FALSE;TRUE;1018;FALSE;TRUE;FALSE;1014;1018
Knud 1. den Store;995;FALSE;TRUE;FALSE;1035;FALSE;TRUE;FALSE;1018;1035
Hardeknud;1020;FALSE;TRUE;FALSE;1042;FALSE;TRUE;FALSE;1035;1042
Magnus den Gode;1024;FALSE;TRUE;FALSE;1047;FALSE;TRUE;FALSE;1042;1047
Svend 2. Estridsen;NA;FALSE;FALSE;TRUE;1076;TRUE;FALSE;FALSE;1047;1074
Harald 3. Hen;NA;FALSE;FALSE;TRUE;1080;FALSE;TRUE;FALSE;1074;1080
Knud 2. den Hellige;1042;FALSE;FALSE;FALSE;1086;TRUE;FALSE;FALSE;1080;1086
Oluf 1. Hunger;1050;FALSE;TRUE;FALSE;1095;FALSE;TRUE;FALSE;1086;1095
Erik 1. Ejegod;1056;FALSE;TRUE;FALSE;1103;FALSE;TRUE;FALSE;1095;1103
Niels;NA;FALSE;FALSE;TRUE;1134;FALSE;TRUE;FALSE;1104;1134
Erik 2. Emune;NA;FALSE;FALSE;TRUE;1137;TRUE;FALSE;FALSE;1134;1137
Erik 3. Lam;1137;FALSE;FALSE;TRUE;1146;TRUE;FALSE;FALSE;1137;1146
Svend 3. Grathe;1125;FALSE;FALSE;TRUE;1157;FALSE;TRUE;FALSE;1146;1157
Knud 3.;NA;FALSE;FALSE;TRUE;1157;FALSE;TRUE;FALSE;1146;1157
Valdemar 1. den Store;1131;FALSE;TRUE;FALSE;1182;FALSE;TRUE;FALSE;1157;1182
Knud 4.;1163;FALSE;TRUE;FALSE;1202;FALSE;TRUE;FALSE;1182;1202
Valdemar 2. Sejr;1170;FALSE;TRUE;FALSE;1241;FALSE;TRUE;FALSE;1202;1241
Erik 4. Plovpenning;1216;FALSE;TRUE;FALSE;1250;FALSE;TRUE;FALSE;1241;1250
Abel;1218;FALSE;TRUE;FALSE;1252;FALSE;TRUE;FALSE;1250;1252
Christoffer 1.;1219;FALSE;TRUE;FALSE;1259;FALSE;TRUE;FALSE;1252;1259
Erik 5. Klipping;1249;FALSE;TRUE;FALSE;1286;FALSE;TRUE;FALSE;1259;1286
Erik 6. Menved;1274;FALSE;TRUE;FALSE;1319;FALSE;TRUE;FALSE;1286;1319
Christoffer 2.;1276;FALSE;TRUE;FALSE;1332;FALSE;TRUE;FALSE;1319;1326
Valdemar 3.;1315;FALSE;TRUE;FALSE;1364;FALSE;TRUE;FALSE;1326;1329
Christoffer 2.;1276;FALSE;TRUE;FALSE;1332;FALSE;TRUE;FALSE;1329;1332
Interregnum;NA;FALSE;FALSE;TRUE;NA;FALSE;FALSE;TRUE;1332;1340
Valdemar 4. Atterdag;1320;FALSE;TRUE;FALSE;1375;FALSE;TRUE;FALSE;1340;1375
Oluf 2.;1370;FALSE;TRUE;FALSE;1387;FALSE;TRUE;FALSE;1375;1387
Margrete 1.;1353;FALSE;TRUE;FALSE;1412;TRUE;FALSE;FALSE;1387;1396
Erik 7. af Pommern;1382;FALSE;TRUE;FALSE;1459;FALSE;TRUE;FALSE;1396;1439
Christoffer 3. af Bayern;1416;FALSE;TRUE;FALSE;1448;FALSE;TRUE;FALSE;1440;1448
Christian 1.;1426;FALSE;TRUE;FALSE;1481;TRUE;FALSE;FALSE;1448;1481
Hans;1455;TRUE;FALSE;FALSE;1513;TRUE;FALSE;FALSE;1482;1513
Christian 2.;1481;TRUE;FALSE;FALSE;1559;TRUE;FALSE;FALSE;1513;1523
Frederik 1.;1471;TRUE;FALSE;FALSE;1533;TRUE;FALSE;FALSE;1523;1533
Interregnum;NA;FALSE;FALSE;TRUE;NA;FALSE;FALSE;TRUE;1533;1536
Christian 3.;1503;TRUE;FALSE;FALSE;1559;TRUE;FALSE;FALSE;1536;1559
Frederik 2.;1534;TRUE;FALSE;FALSE;1588;TRUE;FALSE;FALSE;1559;1588
Christian 4.;1577;TRUE;FALSE;FALSE;1648;TRUE;FALSE;FALSE;1588;1648
Frederik 3.;1609;TRUE;FALSE;FALSE;1670;TRUE;FALSE;FALSE;1648;1670
Christian 5.;1646;TRUE;FALSE;FALSE;1699;TRUE;FALSE;FALSE;1670;1699
Frederik 4.;1671;TRUE;FALSE;FALSE;1730;TRUE;FALSE;FALSE;1699;1730
Christian 6.;1699;TRUE;FALSE;FALSE;1746;TRUE;FALSE;FALSE;1730;1746
Frederik 5.;1723;TRUE;FALSE;FALSE;1766;TRUE;FALSE;FALSE;1746;1766
Christian 7.;1749;TRUE;FALSE;FALSE;1808;TRUE;FALSE;FALSE;1766;1808
Frederik 6.;1768;TRUE;FALSE;FALSE;1839;TRUE;FALSE;FALSE;1808;1839
Christian 8.;1786;TRUE;FALSE;FALSE;1848;TRUE;FALSE;FALSE;1839;1848
Frederik 7.;1808;TRUE;FALSE;FALSE;1863;TRUE;FALSE;FALSE;1848;1863
Christian 9.;1818;TRUE;FALSE;FALSE;1906;TRUE;FALSE;FALSE;1863;1906
Frederik 8.;1843;TRUE;FALSE;FALSE;1912;TRUE;FALSE;FALSE;1906;1912
Christian 10.;1870;TRUE;FALSE;FALSE;1947;TRUE;FALSE;FALSE;1912;1947
Frederik 9.;1899;TRUE;FALSE;FALSE;1972;TRUE;FALSE;FALSE;1947;1972
Margrethe 2.;1940;TRUE;FALSE;FALSE;NA;FALSE;FALSE;TRUE;1972;2024
Frederik 10.;1968;TRUE;FALSE;FALSE;NA;FALSE;FALSE;TRUE;2024;NA
